Data,Data1,D
1.310000e+04,-6.72e+01,
1.312500e+04,-6.24e+01,
1.315000e+04,-6.32e+01,
1.317500e+04,-7.60e+01,
1.320000e+04,-6.00e+01,
1.322500e+04,-7.20e+01,
1.325000e+04,-5.92e+01,
1.327500e+04,-6.00e+01,
1.330000e+04,-6.16e+01,
1.332500e+04,-6.48e+01,
1.335000e+04,-6.64e+01,
1.337500e+04,-6.56e+01,
1.340000e+04,-6.56e+01,
1.342500e+04,-6.00e+01,
1.345000e+04,-6.80e+01,
1.347500e+04,-6.80e+01,
1.350000e+04,-6.88e+01,
1.352500e+04,-6.16e+01,
1.355000e+04,-6.56e+01,
1.357500e+04,-6.16e+01,
1.360000e+04,-8.40e+01,
1.362500e+04,-6.08e+01,
1.365000e+04,-7.92e+01,
1.367500e+04,-7.12e+01,
1.370000e+04,-8.08e+01,
1.372500e+04,-6.64e+01,
1.375000e+04,-6.96e+01,
1.377500e+04,-6.08e+01,
1.380000e+04,-6.56e+01,
1.382500e+04,-6.80e+01,
1.385000e+04,-6.24e+01,
1.387500e+04,-8.00e+01,
1.390000e+04,-6.24e+01,
1.392500e+04,-6.48e+01,
1.395000e+04,-6.24e+01,
1.397500e+04,-7.12e+01,
1.400000e+04,-6.96e+01,
1.402500e+04,-6.24e+01,
1.405000e+04,-7.12e+01,
1.407500e+04,-6.56e+01,
1.410000e+04,-6.40e+01,
1.412500e+04,-7.20e+01,
1.415000e+04,-7.12e+01,
1.417500e+04,-6.32e+01,
1.420000e+04,-6.56e+01,
1.422500e+04,-6.48e+01,
1.425000e+04,-6.88e+01,
1.427500e+04,-6.16e+01,
1.430000e+04,-6.08e+01,
1.432500e+04,-6.48e+01,
1.435000e+04,-6.16e+01,
1.437500e+04,-6.64e+01,
1.440000e+04,-5.92e+01,
1.442500e+04,-6.08e+01,
1.445000e+04,-7.76e+01,
1.447500e+04,-5.76e+01,
1.450000e+04,-6.08e+01,
1.452500e+04,-6.32e+01,
1.455000e+04,-6.24e+01,
1.457500e+04,-6.48e+01,
1.460000e+04,-6.08e+01,
1.462500e+04,-6.48e+01,
1.465000e+04,-7.44e+01,
1.467500e+04,-6.88e+01,
1.470000e+04,-6.64e+01,
1.472500e+04,-6.24e+01,
1.475000e+04,-6.40e+01,
1.477500e+04,-9.04e+01,
1.480000e+04,-6.64e+01,
1.482500e+04,-6.16e+01,
1.485000e+04,-6.64e+01,
1.487500e+04,-6.32e+01,
1.490000e+04,-5.92e+01,
1.492500e+04,-6.24e+01,
1.495000e+04,-6.48e+01,
1.497500e+04,-6.40e+01,
1.500000e+04,-6.56e+01,
1.502500e+04,-6.32e+01,
1.505000e+04,-7.76e+01,
1.507500e+04,-6.64e+01,
